Country Name,Country Code,Gini,Income per capita
Argentina,ARG,43,18333.5436985461
Armenia,ARM,30,6567.25858179835
Australia,AUS,34.7,39227.2685360072
Austria,AUT,30.3,42047.0326758635
Bélgica,BEL,28.4,40091.0099912907
Bangladesh,BGD,32.1,2393.31583163503
Bulgaria,BGR,35.7,14948.5895706348
Belarús,BLR,28.6,15906.7561959696
Canadá,CAN,33.6,40027.2402088674
Suiza,CHE,32.6,53119.3865285819
Colombia,COL,54.8,10680.0030066548
Costa Rica,CRI,48.2,12737.0201761635
Chipre,CYP,31.5,33263.0158296105
República Checa,CZE,26.6,27694.4019837579
Alemania,DEU,30.2,39225.5999941663
Dinamarca,DNK,27.2,43041.5420245418
República Dominicana,DOM,46.9,10898.5171855406
Ecuador,ECU,48.7,9163.15913647781
"Egipto, República Árabe de",EGY,31.5,9658.06521473712
España,ESP,35.2,31954.2427536427
Estonia,EST,32,21602.7407439834
Etiopía,ETH,33.2,1052.10426150867
Finlandia,FIN,27.7,38775.1748566366
Francia,FRA,33.7,35992.5139092599
Reino Unido,GBR,34.4,35875.456276784
Georgia,GEO,40.1,6597.56854892246
Gambia,GMB,43.6,1610.96812658153
Guinea-Bissau,GNB,50.7,1372.0353014013
Grecia,GRC,34.1,28175.8555167678
Honduras,HND,53.1,3890.85140670074
Croacia,HRV,32.4,19186.9629247037
Hungría,HUN,29.4,21555.8591129762
Irlanda,IRL,32.3,43298.6941393342
Islandia,ISL,26.2,38535.3270617591
Israel,ISR,42.5,28828.321525657
Italia,ITA,34.7,35042.1953701135
Jordania,JOR,33.7,9281.1472117003
Kazajstán,KAZ,28,19690.3849700739
Kirguistán,KGZ,30.1,2733.72933718566
"Corea, República de",KOR,32,30376.8718192526
Lesotho,LSO,54.2,2317.82892840665
Lituania,LTU,33.6,20110.3389687171
Luxemburgo,LUX,30.5,85696.9959142608
Letonia,LVA,35,17575.7296974062
República de Moldova,MDA,32.1,3831.74918707843
Madagascar,MDG,42.4,1357.65456267808
México,MEX,45.3,14764.8100317733
Ex República Yugoslava de Macedonia,MKD,40.2,11284.8091808515
Malta,MLT,29,27836.0614693726
Montenegro,MNE,28.9,13648.2327477192
Mongolia,MNG,33.1,7552.66558598877
Malawi,MWI,45.5,1012.06745790371
Países Bajos,NLD,27.8,44542.8365494046
Noruega,NOR,25.7,58022.0334869801
Nepal,NPL,32.8,1945.80668141075
Pakistán,PAK,29.8,4196.95580923862
Panamá,PAN,51.7,15107.4294780668
Perú,PER,45.7,9755.14914796834
Polonia,POL,33.2,21068.8512314571
Portugal,PRT,35.8,27334.811603201
Paraguay,PRY,51,7142.05703875154
Ribera Occidental y Gaza,PSE,35.3,4088.33676543011
Rumania,ROU,28.2,17164.0215746472
Federación de Rusia,RUS,39.5,20497.934076089
Rwanda,RWA,51.3,1325.78162054261
El Salvador,SLV,43.5,7152.20492482057
Serbia,SRB,29,12087.1010470258
Santo Tomé y Príncipe,STP,30.8,2588.07974333705
República Eslovaca,SVK,27.3,24986.6128088286
Eslovenia,SVN,24.9,27766.4203840775
Suecia,SWE,26.5,41627.9737254356
Tailandia,THA,39.4,13213.747749553
Túnez,TUN,35.8,10225.2522337184
Turquía,TUR,38.8,17442.8599464888
Tuvalu,TUV,39.1,2945.71868217362
Ucrania,UKR,24.8,7666.2195766859
Uruguay,URY,44.5,16736.8510315505
Estados Unidos,USA,40.4,48373.8788155779
Viet Nam,VNM,39.3,4318.99740521312
Vanuatu,VUT,37.6,2888.39827319918
Kosovo,XKX,33.3,7716.61186860413
Sudáfrica,ZAF,63.4,11647.3274208324
Zambia,ZMB,55.6,3212.94188088675
